date,state,rainfall_24h,rainfall_cumulative,soil_moisture,slope,elevation,ndvi,distance_to_road,historical_landslide_density,temperature,risk_score
2010-01-01,Sikkim,106.1,136.72,65.76,65.58,2993.36,100.0,4.34,86.63,15.29,60.11
2010-01-02,Arunachal Pradesh,74.57,150.64,49.33,21.19,1785.37,100.0,48.1,85.13,20.96,33.26
2010-01-03,Manipur,124.79,214.83,100.0,26.98,1387.95,100.0,17.36,71.52,21.27,41.79
2010-01-04,Meghalaya,47.99,116.99,49.38,52.96,633.05,100.0,12.59,6.11,13.21,33.19
2010-01-05,Mizoram,165.08,327.69,100.0,12.86,420.01,100.0,20.59,55.43,16.9,50.08
2010-01-06,Mizoram,33.28,26.73,56.33,5.82,1723.2,100.0,20.71,0.0,14.01,21.59
2010-01-07,Tripura,152.97,288.66,100.0,27.26,3380.24,100.0,22.93,45.34,32.54,60.04
2010-01-08,Sikkim,53.18,109.59,58.36,39.68,2150.81,100.0,34.43,8.76,11.86,29.58
2010-01-09,Meghalaya,59.49,156.46,65.85,28.33,1832.04,100.0,43.4,45.06,31.97,40.53
2010-01-10,Tripura,112.87,251.27,89.29,37.34,1310.22,100.0,2.87,88.43,23.2,55.23
2010-01-11,Mizoram,163.04,266.74,64.79,13.28,669.95,100.0,24.54,42.01,26.63,39.19
2010-01-12,Assam,25.43,33.38,46.28,34.01,3960.89,100.0,20.7,50.66,33.08,29.08
2010-01-13,Manipur,107.38,198.89,100.0,50.25,151.64,100.0,0.54,61.89,19.13,53.94
2010-01-14,Meghalaya,82.0,224.48,81.51,21.35,1281.67,100.0,40.82,58.39,27.57,43.77
2010-01-15,Assam,40.31,143.9,68.29,22.92,3089.05,100.0,5.22,0.0,26.79,31.65
2010-01-16,Manipur,105.98,193.86,63.41,2.42,2106.2,100.0,5.74,39.23,34.71,34.85
2010-01-17,Sikkim,39.84,84.36,59.66,34.3,1289.73,100.0,2.41,52.55,11.15,31.23
2010-01-18,Assam,97.93,174.52,63.23,6.56,3971.32,100.0,10.02,64.8,21.39,40.77
2010-01-19,Tripura,49.74,72.71,67.29,44.07,2495.72,100.0,8.84,10.51,34.74,37.29
2010-01-20,Assam,62.32,174.87,92.09,17.64,1215.87,100.0,17.39,69.13,18.2,50.89
2010-01-21,Arunachal Pradesh,79.02,207.23,100.0,42.51,3399.41,100.0,32.96,45.37,34.14,45.74
2010-01-22,Meghalaya,117.0,210.02,60.35,27.63,643.15,100.0,2.71,48.59,30.42,48.94
2010-01-23,Tripura,46.09,99.11,70.66,32.13,1881.12,100.0,43.01,54.85,18.48,39.78
2010-01-24,Assam,91.65,159.55,81.61,19.75,3366.38,100.0,16.33,54.33,10.73,42.75
2010-01-25,Sikkim,60.99,123.48,58.47,20.71,3935.45,100.0,30.33,0.0,17.01,40.54
